"","AUC","pAUC","pAUC(standardized)"
"CART",0.721355710271459,0.0226617183779849,0.59295641251571
"RF",0.841339135345658,0.0358234004512031,0.662228423427385
"CB",0.83245957211715,0.0333520841589679,0.649221495573515
"logistic",0.853653263837303,0.0403441199382375,0.686021683885461
"logistic_refit",0.862352921700961,0.0402074199491243,0.685302210258549
"l1_logistic",0.862345798839231,0.0386441739737403,0.677074599861791
"FILTER-2",0.842670055004692,0.0354940680435762,0.660495094966191
"FILTER-4",0.864153955212933,0.0406331974313885,0.687543144375729
"FILTER-6",0.868151841422395,0.041149623991896,0.690261178904716
"FILTER-8",0.868499191292982,0.0387037503559771,0.677388159768301
